project,channel_name,follow_type,has_mention,channel_url,refresh_interval,at_time,last_read
Yuliverse [OFFICIAL],🔈┃announcement,announcement,,https://discord.com/channels/919100846887813170/969501135134130178,,,1033637641083682858_2022-10-23T07:06:57.693000+00:00
Hibiki Run,📣│announcement,announcement,,https://discord.com/channels/965919863468085279/971016161187754004,,,1019741867841171526_2022-09-14T22:52:47.522000+00:00
Yuliverse [OFFICIAL],🔊┃通告,announcement,,https://discord.com/channels/919100846887813170/998657861209042974,,,1033744679994400799_2022-10-23T14:12:36.603000+00:00
Yuliverse [OFFICIAL],⛏┃mint讯息,announcement,,https://discord.com/channels/919100846887813170/1022222584059809802,,,1028945792641278012_2022-10-10T08:23:13.854000+00:00
Yuliverse [OFFICIAL],announcement公告,announcement,,https://discord.com/channels/919100846887813170/1020182920444514385,,,1025340087250202654_2022-09-30T09:36:32.358000+00:00
Yuliverse [OFFICIAL],⭐┃medium-collab,giveaway,,https://discord.com/channels/919100846887813170/1010121843992178708,,,1033773901815226538_2022-10-23T16:08:24.783000+00:00
Yuliverse [OFFICIAL],🎁┃premium-collab,giveaway,,https://discord.com/channels/919100846887813170/1010130810608828477,,,1032976588398149654_2022-10-21T11:20:10.451000+00:00
Yuliverse [OFFICIAL],👑┃vip-collab,giveaway,,https://discord.com/channels/919100846887813170/1010130930310070312,,,1033338079857090571_2022-10-22T11:16:36.731000+00:00
Yuliverse [OFFICIAL],🎉┃giveaway,giveaway,,https://discord.com/channels/919100846887813170/1008649284389974077,,,1027061219191947365_2022-10-05T03:34:36.530000+00:00
Yuliverse [OFFICIAL],特別活動,giveaway,,https://discord.com/channels/919100846887813170/1008928391774355476,,,1033727193068609606_2022-10-23T13:02:48.550000+00:00
Hibiki Run,📣│beta-updates,announcement,,https://discord.com/channels/965919863468085279/1021173680698556467,,,1032811403314212965_2022-10-21T00:23:47.258000+00:00
Yoshiki Yamazumi Club,お知らせ-news,announcement,,https://discord.com/channels/1015847641525006366/1016969998226436179,,,1033696100001001502_2022-10-23T10:59:15.385000+00:00
Yoshiki Yamazumi Club,公式-official-giveaway,giveaway,,https://discord.com/channels/1015847641525006366/1016733415887876226,,,1033003410703781909_2022-10-21T13:06:45.387000+00:00
Atsui,📢｜announcements,announcement,,https://discord.com/channels/938933882856800356/963435605851791391,,,1033432249443549324_2022-10-22T17:30:48.510000+00:00
Atsui,🎉｜giveaways,giveaway,,https://discord.com/channels/938933882856800356/963436483203719189,,,1017812735897120840_2022-09-09T15:07:31.377000+00:00
Sushi Cats,🐱announcements,announcement,,https://discord.com/channels/922400625877209109/922400626816716833,,,1028824880969437274_2022-10-10T00:22:46.265000+00:00
Sushi Cats,🎏collabs-dyor,giveaway,,https://discord.com/channels/922400625877209109/922402342102532096,,,1033775724668141648_2022-10-23T16:19:27.772000+00:00
Sushi Cats,🎁giveaways,giveaway,,https://discord.com/channels/922400625877209109/922402300796993617,,,1018276228198842408_2022-09-10T21:46:11.460000+00:00
Sushi Cats,🎲rumble-royale,game,,https://discord.com/channels/922400625877209109/945933759537119252,,,1008294888707723326_2022-08-14T08:43:54.681000+00:00
Sushi Cats,🀄重要通告,announcement,,https://discord.com/channels/922400625877209109/953274432485466192,,,982508776798167070_2022-06-04T04:59:06.519000+00:00
TRACER,📢ㅣen-announcement,announcement,,https://discord.com/channels/963354950920966144/973800136255868980,,,1033714271957287022_2022-10-23T12:11:27.917000+00:00
TRACER,📮ㅣmini-announcement,announcement,,https://discord.com/channels/963354950920966144/1010014991719604255,,,1030340265019457617_2022-10-14T04:44:28.080000+00:00
TRACER,🥳ㅣlv20-giveaway,giveaway,,https://discord.com/channels/963354950920966144/998873011727904768,,,1014821935491862568_2022-09-01T09:00:03.901000+00:00
Sleepagotchi,🎊・sleepboxes-giveaway,giveaway,,https://discord.com/channels/961446120364605540/991448340682256575,,,1033696298571927582_2022-10-23T11:00:02.728000+00:00
Sleepagotchi,🏆・competition-announcements,announcement,,https://discord.com/channels/961446120364605540/1008735549537927178,,,1031547558130106370_2022-10-17T12:41:43.085000+00:00
Sleepagotchi,announcements,announcement,,https://discord.com/channels/961446120364605540/977506976059777024,,,1001359153773690930_2022-07-26T05:24:11.918000+00:00
Sleepagotchi,minor-announcements,announcement,,https://discord.com/channels/961446120364605540/980861318724747344,,,1031583248758866020_2022-10-17T15:04:13.751000+00:00
Sleepagotchi,🎁・twitter-giveaways,giveaway,,https://discord.com/channels/961446120364605540/989897832406339644,,,1031914674180067408_2022-10-18T13:00:30.372000+00:00
Sleepagotchi,👑・rumble-royale,game,,https://discord.com/channels/961446120364605540/1002280510179004506,,,1033819948566458439_2022-10-23T19:11:23.184000+00:00
